"","owner","farm_name","mill","in_country_partner","country_of_origin","altitude_low_meters","altitude_high_meters","altitude_mean_meters","number_of_bags","bag_weight","species","variety","processing_method","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","moisture","category_one_defects","category_two_defects","color","total_cup_points"
"238","kona pacific farmers cooperative",NA,NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,14,"100 lbs","Arabica","Hawaiian Kona","Natural / Dry",7.83,7.75,7.83,7.83,7.42,8.08,9.33,10,10,0.11,1,9,"Green",84.08
"239","andres martinez leon","la lagunilla","agroindustrias unidas de mexico","AMECAFE","Mexico",1480,1480,1480,300,"1 kg","Arabica","Typica","Washed / Wet",7.67,7.75,7.67,7.75,7.67,7.75,10,10,10,0.11,1,10,"Green",84.08
"240","steven kil",NA,NA,"Specialty Coffee Association","Ethiopia",1800,1800,1800,100,"60 kg","Arabica","Other","Natural / Dry",7.92,7.92,7.83,8,7.92,7.92,10,10,8.67,0.09,0,15,NA,84.08
"241","amanda powers",NA,"exclusive coffees s.a,","Specialty Coffee Association","Costa Rica",NA,NA,NA,275,"150 lbs","Arabica",NA,"Washed / Wet",7.58,7.75,7.67,7.75,7.83,7.75,10,10,10,0.08,1,13,"None",84
"242","kyagalanyi coffee ltd","kerchanshe","kerchanshe","Uganda Coffee Development Authority","Ethiopia",1800,1800,1800,320,"60 kg","Arabica","Gesha","Natural / Dry",7.83,7.75,7.67,7.75,7.33,7.75,10,10,10,0.11,3,1,"Green",84
"243","bismarck castro","las cuchillas","cigrah s.a de c.v.","Instituto Hondure<U+00F1>o del Café","Honduras",1500,1500,1500,275,"66 kg","Arabica","Caturra","Washed / Wet",7.42,7.83,7.75,7.92,7.75,7.58,10,10,10,0.1,0,5,"Green",84
"244","juan luis alvarado romero","finca los cerros y anexos","beneficio exportacafe agua santa","Asociacion Nacional Del Café","Guatemala",1658.112,1755.648,1706.88,275,"69 kg","Arabica","Caturra","Washed / Wet",7.67,7.83,7.58,7.92,7.75,7.67,10,10,10,0.12,0,7,"Green",84
"245","olam agro colombia",NA,"trilladora asia","Almacafé","Colombia",1600,1600,1600,250,"1 kg","Arabica","Other","Washed / Wet",7.67,7.67,7.83,7.58,7.58,7.83,10,10,10,0.11,2,7,"Green",84
"246","juan luis alvarado romero","el papaturro","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",1219.2,1219.2,1219.2,250,"69 kg","Arabica","Bourbon","Natural / Dry",7.92,7.67,7.42,7.92,7.75,7.83,10,10,10,0.1,0,1,"Green",84
"247","juan luis alvarado romero","el papaturro","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",1219.2,1219.2,1219.2,250,"69 kg","Arabica","Bourbon","Other",7.75,7.83,7.5,7.83,7.58,7.67,10,10,10,0.1,0,0,"Green",84
"248","olam agro colombia",NA,"trilladora asia","Almacafé","Colombia",1480,1480,1480,250,"1 kg","Arabica",NA,"Washed / Wet",7.67,7.75,7.67,7.67,7.67,7.75,10,10,10,0.12,0,0,"Green",84
"249","compa<U+00F1>ia colombiana agroindustrial s.a",NA,"trilladora agricola","Almacafé","Colombia",1450,1450,1450,250,"70 kg","Arabica","Caturra","Natural / Dry",7.58,7.42,7.75,7.92,7.75,7.92,10,10,10,0.12,0,0,"Green",84
"250","racafe & cia s.c.a",NA,NA,"Almacafé","Colombia",1600,1950,1775,138,"70 kg","Arabica","Caturra","Washed / Wet",7.67,7.67,7.5,7.5,7.67,7.67,10,10,10,0.12,0,3,"Green",84
"251","lusso lab",NA,NA,"Specialty Coffee Association","Ethiopia",1550,1550,1550,50,"60 kg","Arabica","Other","Natural / Dry",7.75,7.75,7.5,7.58,7.67,7.92,10,10,10,0.09,4,40,"Green",84
"252","ipanema coffees","fazenda rio verde","ipanema coffees","Specialty Coffee Association","Brazil",1260,1260,1260,320,"60 kg","Arabica","Yellow Bourbon","Natural / Dry",7.58,7.83,7.67,7.25,8,7.75,10,10,10,0.1,0,0,"Green",84
"253","exportadora de cafe condor s.a",NA,"trilladora boananza","Almacafé","Colombia",1700,1700,1700,270,"70 kg","Arabica","Caturra","Washed / Wet",7.67,7.83,7.67,7.75,7.67,7.75,10,10,10,0.11,0,1,"Green",84
"254","ibero kenya limited",NA,"nkg/ck/hc/ss/kccm","Kenya Coffee Traders Association","Kenya",1200,1200,1200,300,"60 kg","Arabica","SL34","Washed / Wet",7.67,7.83,7.5,7.75,7.92,7.67,10,10,10,0,0,2,"Green",84
"255","doi tung development project","doi tung development project","doi tung development project","Specialty Coffee Association","Thailand",NA,NA,NA,2,"1 kg","Arabica","Other","Washed / Wet",7.92,8.17,8.17,8.42,8.08,8.17,8.67,8.67,9.33,0.12,0,0,"Green",84
"256","taylor winch (coffee) ltd.","-",NA,"Kenya Coffee Traders Association","Kenya",1650,1650,1650,150,"9000 kg","Arabica","SL28","Washed / Wet",7.67,7.75,7.67,7.75,7.83,7.67,10,10,10,0,0,0,"Bluish-Green",84
"257","afca",NA,"bukonzo joint cfs","Africa Fine Coffee Association","Uganda",1700,1700,1700,320,"60 kg","Arabica","Other","Washed / Wet",7.92,7.75,7.58,7.67,7.67,7.83,10,10,10,0.1,10,26,"Green",84
"258","doi tung development project","doi tung development project",NA,"Specialty Coffee Association","Thailand",NA,NA,NA,1,"60 kg","Arabica",NA,NA,7.58,7.75,7.58,7.75,7.58,7.75,10,10,10,0.06,0,0,NA,84
"259","ipanema coffees","fazenda capoeirnha","dry mill","Brazil Specialty Coffee Association","Brazil",890,890,890,320,"60 kg","Arabica","Bourbon","Natural / Dry",7.5,7.75,7.58,7.5,7.58,7.5,10,10,10,0,0,3,"Green",83.92
"260","cafes tomari sa de cv","cafetal","cafes tomari sa de cv","Centro Agroecológico del Café A.C.","Mexico",1300,1300,1300,200,"69 kg","Arabica","Mundo Novo","Washed / Wet",7.83,7.83,7.58,7.92,7.42,7.5,10,10,10,0.11,0,5,"Green",83.92
"261","sarawut premjit","saveg coffee farm","dry mill","Specialty Coffee Association","Thailand",1350,1350,1350,45,"40 kg","Arabica","Catimor","Natural / Dry",7.67,7.75,7.5,7.67,7.67,7.83,10,10,10,0.1,0,1,"Bluish-Green",83.92
"262","ipanema coffees","capoeirinha","dry mill","Brazil Specialty Coffee Association","Brazil",934,934,934,320,"60 kg","Arabica","Bourbon","Natural / Dry",7.58,7.67,7.67,7.75,7.58,7.83,10,10,10,0.11,0,7,"Green",83.92
"263","lin, che-hao krude 林哲豪","tsoustructive garden 鄒築園","tsoustructive garden 鄒築園","Specialty Coffee Association","Taiwan",1200,1200,1200,20,"50 kg","Arabica","Typica","Washed / Wet",7.83,7.75,7.83,7.75,7.83,7.75,9.33,10,10,0.11,0,3,"Green",83.92
"264","carcafe ltda ci",NA,"neiva","Almacafé","Colombia",442,442,442,250,"70 kg","Arabica",NA,NA,7.75,7.67,7.5,7.75,7.83,7.75,10,10,10,0.11,1,2,"Green",83.92
"265","almacafe",NA,"bachué","Almacafé","Colombia",NA,NA,NA,226,"70 kg","Arabica",NA,NA,7.75,7.58,7.5,7.83,7.75,7.92,10,10,10,0,1,5,NA,83.92
"266","cqi taiwan icp cqi台灣合作夥伴","very famous intl.名門義理國際股份有限公司","very famous intl.名門義理國際股份有限公司","Blossom Valley International","Taiwan",NA,NA,NA,1,"2 kg","Arabica",NA,"Natural / Dry",7.75,7.75,7.58,7.75,7.75,7.67,10,10,10,0,0,0,"Blue-Green",83.92
"267","federacion nacional de cafeteros",NA,NA,"Almacafé","Colombia",NA,NA,NA,275,"2 kg","Arabica",NA,"Washed / Wet",7.92,7.67,7.5,7.83,7.58,7.67,10,10,10,0,0,0,NA,83.92
"268","federacion nacional de cafeteros",NA,NA,"Almacafé","Colombia",NA,NA,NA,275,"2 kg","Arabica",NA,"Washed / Wet",7.83,7.75,7.58,7.58,7.75,7.75,10,10,10,0,1,1,"None",83.92
"269","racafe & cia s.c.a",NA,NA,"Almacafé","Colombia",1600,1950,1775,275,"70 kg","Arabica","Caturra","Washed / Wet",7.75,7.58,7.67,7.83,7.83,7.67,10,10,10,0,0,1,"Green",83.92
"270","cqi taiwan icp cqi台灣合作夥伴","神谷山莊園","神谷山莊園","Blossom Valley International","Taiwan",950,950,950,10,"60 kg","Arabica","Typica","Washed / Wet",8,7.92,7.92,7.92,7.67,7.33,10,10,10,0.06,0,0,"Green",83.92
"271","compa<U+00F1>ia colombiana agroindustrial s.a",NA,"trilladora boananza","Almacafé","Colombia",1550,1550,1550,250,"70 kg","Arabica","Caturra","Natural / Dry",7.67,7.83,7.67,7.75,7.67,7.83,10,10,10,0.12,0,3,"Green",83.92
"272","oscar ortega carballo","finca cuetzalingo","xicotepec de juarez","AMECAFE","Mexico",900,900,900,48,"1 kg","Arabica","Typica","Washed / Wet",7.67,7.75,7.58,7.67,7.75,7.83,10,10,10,0.12,10,32,"Blue-Green",83.92
"273","alfredo bojalil","finca sant rosa","agroindustrias unidas de mexico","AMECAFE","Mexico",1500,1500,1500,250,"1 kg","Arabica","Typica","Washed / Wet",7.5,7.67,7.58,7.83,7.75,7.75,10,10,10,0.11,0,2,NA,83.92
"274","organizaciones de productores de cafe colimense","comunidad la yerbabuena","cafetaleros de la yerbabuena spr de rl","AMECAFE","Mexico",1400,1400,1400,20,"1 kg","Arabica","Typica","Washed / Wet",7.75,7.92,7.83,7.92,7.75,7.67,9.33,10,10,0,0,2,"Green",83.92
"275","carcafe ltda ci",NA,"cartago","Almacafé","Colombia",2527,2527,2527,275,"70 kg","Arabica","Caturra","Washed / Wet",7.92,7.58,7.5,7.83,7.58,7.67,10,10,10,0,1,6,"Green",83.83
"276","racafe & cia s.c.a",NA,"bachue","Almacafé","Colombia",NA,NA,NA,275,"70 kg","Arabica","Caturra",NA,7.83,7.67,7.5,7.75,7.75,7.75,10,10,10,0,1,0,"Green",83.83
"277","ceca, s.a.","gamboa","beneficio monta<U+00F1>as del diamante","Specialty Coffee Association of Costa Rica","Costa Rica",1850,1850,1850,275,"69 kg","Arabica","Caturra","Washed / Wet",7.67,7.67,7.75,7.67,7.5,7.75,10,10,10,0,0,0,"Blue-Green",83.83
"278","juan luis alvarado romero","finca medina","beneficio siembras vision (154)","Asociacion Nacional Del Café","Guatemala",1500,1500,1500,100,"69 kg","Arabica","Bourbon","Washed / Wet",7.75,7.75,7.5,7.75,7.83,7.58,10,10,10,0.11,0,6,"Green",83.83
"279","cqi taiwan icp cqi台灣合作夥伴","優遊吧斯股份有限公司yuyupas international corp.","none","Blossom Valley International","Taiwan",1200,1200,1200,167,"30 kg","Arabica",NA,NA,7.75,7.67,7.5,7.75,7.75,7.67,10,10,10,0,0,0,NA,83.83
"280","ipanema coffees","rio verde","ipanema comercial e exportadora sa","Brazil Specialty Coffee Association","Brazil",1,1,1,320,"2 kg","Arabica","Yellow Bourbon","Natural / Dry",7.25,7.58,7.42,8,7.75,7.83,10,10,10,0,0,0,"Green",83.83
"281","lin, che-hao krude 林哲豪","鄉舍咖啡 hometown coffee","鄉舍咖啡 hometown coffee","Specialty Coffee Association","Taiwan",480,570,525,8,"18 kg","Arabica","Typica","Washed / Wet",7.67,7.75,7.67,7.75,7.42,7.75,10,10,10,0,0,1,"Green",83.83
"282","yasmin cofffee plantation plc",NA,NA,"METAD Agricultural Development plc","Ethiopia",1650,1703,1676.5,320,"60 kg","Arabica",NA,"Natural / Dry",7.75,7.75,7.67,7.67,7.58,7.67,10,10,10,0.12,0,4,"Green",83.83
"283","ipanema coffees","rio verde","ipanema coffees","Specialty Coffee Association","Brazil",1200,1200,1200,300,"2 kg","Arabica","Bourbon","Semi-washed / Semi-pulped",7.67,7.67,7.58,7.5,7.83,8.17,10,10,9.33,0,0,1,"Green",83.83
"284","eric thormaehlen","various","coricafe sa","Specialty Coffee Association of Costa Rica","Costa Rica",1200,1400,1300,250,"1 kg","Arabica","Catuai","Washed / Wet",7.83,7.42,7.5,7.83,7.75,7.83,10,10,10,0.1,0,3,"Green",83.83
"285","juan luis alvarado romero","el papaturro","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",1219.2,1219.2,1219.2,250,"69 kg","Arabica","Bourbon","Washed / Wet",7.58,7.83,7.33,8,7.58,7.75,10,10,10,0.1,0,1,"Green",83.83
"286","ipanema coffees","fazenda rio verde","ipanema coffees","Specialty Coffee Association","Brazil",1260,1260,1260,320,"60 kg","Arabica","Yellow Bourbon","Natural / Dry",7.92,7.5,7.33,7.67,8.17,7.5,10,10,10,0.1,0,0,"Green",83.83
"287","garet alban","finca el trueno",NA,"Specialty Coffee Association","Ecuador",800,800,800,1,"5 lbs","Arabica",NA,"Natural / Dry",7.5,7.67,7.58,7.75,7.83,7.83,10,10,10,0.09,0,0,"Bluish-Green",83.83
"288","exportadora de cafe condor s.a",NA,"trilladora boananza","Almacafé","Colombia",1750,1750,1750,250,"70 kg","Arabica","Caturra","Washed / Wet",7.67,7.58,7.58,7.83,7.58,7.67,10,10,10,0.11,0,1,"Green",83.83
"289","juan luis alvarado romero","finca el morito","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",1310.64,1310.64,1310.64,250,"69 kg","Arabica","Bourbon","Washed / Wet",7.5,7.83,7.5,7.83,7.83,7.67,10,10,10,0.11,0,3,"Green",83.83
"290","filemon mendoza campos","predio ca<U+00F1>ada del encino","colonia baltazar r.leyva mancilla","AMECAFE","Mexico",1218,1218,1218,20,"1 kg","Arabica","Bourbon","Natural / Dry",7.67,8,7.67,7.42,7.67,7.5,10,10,10,0.1,0,2,"Green",83.83
"291","alfredo bojalil","finca santa teresa","agroindustrias unidas de mexico","AMECAFE","Mexico",1300,1300,1300,250,"1 kg","Arabica","Pacas","Natural / Dry",7.67,7.58,7.5,7.75,7.75,7.75,10,10,10,0.11,0,4,NA,83.83
"292","jacques pereira carneiro","fazenda do sertao","cocarive","NUCOFFEE","Brazil",1250,1250,1250,300,"1 kg","Arabica","Yellow Bourbon","Semi-washed / Semi-pulped",7.83,7.83,7.58,7.67,7.5,7.58,10,10,10,0.12,0,3,"Green",83.83
"293","doi chaang coffee company","doi chaang coffee original co.,ltd","premium grade a","Specialty Coffee Association","Thailand",1499.9208,1499.9208,1499.9208,175,"50 kg","Arabica",NA,NA,7.75,7.75,7.58,8,7.67,7.58,10,10,10,0.02,0,2,NA,83.83
"294","doi tung development project","doi tung development project",NA,"Specialty Coffee Association","Thailand",NA,NA,NA,1,"60 kg","Arabica",NA,NA,7.5,7.83,7.58,7.58,7.75,7.83,10,10,10,0.01,0,0,NA,83.83
"295","ethiopia commodity exchange","phone number | 0911-51-08-01, email | at",NA,"Ethiopia Commodity Exchange","Ethiopia",NA,NA,NA,300,"6","Arabica",NA,NA,7.58,7.83,7.58,8,7.83,7.5,10,10,10,0.1,0,3,NA,83.83
"296","kennedy macharia",NA,"sasini mills","Kenya Coffee Traders Association","Kenya",1800,1800,1800,200,"60 kg","Arabica","SL28","Washed / Wet",7.75,7.58,7.5,7.58,7.75,7.75,10,10,10,0.11,0,2,"Green",83.75
"297","ipanema coffees","fazenda capoeirnha","dry mill","Brazil Specialty Coffee Association","Brazil",890,890,890,320,"60 kg","Arabica","Bourbon","Natural / Dry",7.67,7.67,7.58,7.75,7.67,7.67,10,10,10,0.11,0,5,"Green",83.75
"298","carcafe ltda ci",NA,"neiva","Almacafé","Colombia",442,442,442,275,"70 kg","Arabica","Caturra","Washed / Wet",7.83,7.83,7.58,7.58,7.58,7.58,10,10,10,0.11,0,1,"Green",83.75
"299","lin, che-hao krude 林哲豪","崁頭山咖啡館 (kan tou mountain coffee)","崁頭山咖啡館 (kan tou mountain coffee)","Specialty Coffee Association","Taiwan",750,750,750,10,"10 kg","Arabica","Typica","Natural / Dry",7.67,7.67,7.58,7.58,7.67,7.83,10,10,10,0,0,0,"Green",83.75
"300","racafe & cia s.c.a",NA,"bachue","Almacafé","Colombia",NA,NA,NA,275,"70 kg","Arabica",NA,"Washed / Wet",7.92,7.75,7.5,7.67,7.75,7.5,10,10,10,0,1,4,"Green",83.75
"301","yunnan coffee exchange","pu’er specialty coffee cupping center","pu’er specialty coffee cupping center","Yunnan Coffee Exchange","China",1650,1650,1650,3,"60 kg","Arabica","Catimor","Washed / Wet",7.83,7.75,7.67,7.5,7.58,7.67,10,10,10,0.1,0,2,"Green",83.75
"302","carcafe ltda ci",NA,"neiva","Almacafé","Colombia",442,442,442,250,"70 kg","Arabica","Caturra","Natural / Dry",7.75,7.67,7.5,7.67,7.58,7.83,10,10,10,0,0,0,"Green",83.75
"303","nile highland arabica coffee farmers","erussi farmers group","nile highland arabica coffee farmers","Uganda Coffee Development Authority","Uganda",1400,1400,1400,320,"60 kg","Arabica","Bourbon","Natural / Dry",8,7.92,7.58,7.75,7.33,7.5,10,10,10,0.12,0,0,"Green",83.75
"304","german negron","hacienda caracolillo","hacienda alto grande","Specialty Coffee Association","United States (Puerto Rico)",853.44,853.44,853.44,18,"5 lbs","Arabica","Other","Washed / Wet",7.83,7.83,7.83,7.67,8,8.17,9.33,9.33,10,0.12,0,1,"Green",83.75
"305","racafe & cia s.c.a",NA,NA,"Almacafé","Colombia",1600,1950,1775,100,"70 kg","Arabica","Caturra","Washed / Wet",7.67,7.67,7.67,7.92,7.5,7.67,10,10,10,0,0,5,"Green",83.75
"306","olam agro colombia",NA,"trilladora asia","Almacafé","Colombia",1500,1600,1550,250,"70 kg","Arabica","Other","Washed / Wet",7.67,7.42,7.42,7.42,8,8.33,10,10,10,0,0,3,"Green",83.75
"307","exportadora de cafe condor s.a",NA,"bonanza - armenia","Almacafé","Colombia",1750,1750,1750,250,"70 kg","Arabica","Caturra","Washed / Wet",7.58,7.67,7.75,7.67,7.67,7.67,10,10,10,0,0,1,"Blue-Green",83.75
"308","exportadora de cafe condor s.a",NA,"trilladora boananza","Almacafé","Colombia",1750,1750,1750,275,"70 kg","Arabica","Caturra","Washed / Wet",7.75,7.67,7.75,7.58,7.42,8,10,10,10,0.11,0,3,"Green",83.75
"309","kona pacific farmers cooperative",NA,NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,12,"100 lbs","Arabica","Hawaiian Kona","Natural / Dry",7.25,7.42,7.67,7.58,7.83,8.25,10,10,10,0,0,0,"Bluish-Green",83.75
"310","saul m. hernandez ramirez","naranjal","en ahuatitlan","AMECAFE","Mexico",700,700,700,10,"1 kg","Arabica","Caturra","Natural / Dry",7.83,7.58,7.58,7.5,7.75,7.67,10,10,10,0.13,5,5,"None",83.75
"311","the coffee source inc.","several farms","florencia","Specialty Coffee Association","Guatemala",1300,1300,1300,250,"3 lbs","Arabica","Caturra","Washed / Wet",7.67,7.58,7.58,7.67,7.75,7.75,10,10,10,0.11,0,1,"Bluish-Green",83.75
"312","carcafe ltda ci",NA,NA,"Almacafé","Colombia",1600,1600,1600,275,"70 kg","Arabica",NA,NA,7.83,7.83,7.58,7.33,7.42,7.67,10,10,10,0.1,0,1,NA,83.75
"313","exportadora de cafe condor s.a",NA,"trilladora boananza","Almacafé","Colombia",1600,1600,1600,250,"70 kg","Arabica",NA,NA,7.75,7.67,7.25,7.25,7.58,8.5,10,10,10,0.06,0,1,NA,83.75
"314","kona pacific farmers cooperative",NA,NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,4,"1","Arabica",NA,NA,7.83,7.67,7.75,7.67,7.58,7.5,10,10,10,0,0,0,NA,83.75
"315","ipanema coffees","fazenda capoeirnha","dry mill","Brazil Specialty Coffee Association","Brazil",890,890,890,320,"60 kg","Arabica","Bourbon","Natural / Dry",7.67,7.83,7.5,7.67,7.67,7.5,10,10,10,0.11,0,2,"Green",83.67
"316","kennedy macharia",NA,"sasini / kofinaf mills","Kenya Coffee Traders Association","Kenya",1700,1700,1700,200,"60 kg","Arabica","SL28","Washed / Wet",8.08,7.67,7.67,7.58,7.25,7.67,10,10,10,0.11,0,0,"Bluish-Green",83.67
"317","bismarck castro","los hicaques","cigrah s.a de c.v.","Instituto Hondure<U+00F1>o del Café","Honduras",1400,1400,1400,285,"69 kg","Arabica","Caturra","Washed / Wet",7.5,7.5,7.67,7.67,8,8,10,10,10,0.1,0,2,"Green",83.67
"318","comercial internacional exportadora, s.a.","santa matilde","dry mill","Instituto Hondure<U+00F1>o del Café","Nicaragua",1250,1250,1250,275,"69 kg","Arabica","Caturra","Washed / Wet",7.67,7.75,7.67,7.67,7.83,7.58,10,10,10,0.1,0,3,"Green",83.67
"319","ipanema coffees","capoeirinha","dry mill","Brazil Specialty Coffee Association","Brazil",934,934,934,320,"60 kg","Arabica","Bourbon","Natural / Dry",7.58,7.75,7.58,7.75,7.58,7.58,10,10,10,0.11,0,3,"Green",83.67
"320","lin, che-hao krude 林哲豪","tsoustructive garden 鄒築園","tsoustructive garden 鄒築園","Specialty Coffee Association","Taiwan",1200,1200,1200,20,"50 kg","Arabica","Caturra","Natural / Dry",7.5,7.67,7.33,7.92,7.83,7.67,10,10,10,0.1,0,0,"Bluish-Green",83.67
"321","ceca, s.a.",NA,"cafex","Specialty Coffee Association of Costa Rica","Costa Rica",1350,1350,1350,275,"69 kg","Arabica",NA,NA,7.33,7.67,7.67,7.5,7.67,7.5,10,10,10,0.11,0,1,"Blue-Green",83.67
"322","doi tung development project",NA,NA,"Specialty Coffee Association","Thailand",800,800,800,1,"1 kg","Arabica",NA,"Washed / Wet",7.5,7.75,7.58,7.83,7.67,7.58,10,10,10,0.12,0,0,"Bluish-Green",83.67
"323","rob stephen",NA,NA,"Specialty Coffee Association","Colombia",1550,1700,1625,100,"2 lbs","Arabica","Caturra","Washed / Wet",7.5,7.75,7.5,7.75,7.67,7.67,10,10,10,0.11,0,4,NA,83.67
"324","juan luis alvarado romero","finca las cuevitas","beneficio exportacafe agua santa","Asociacion Nacional Del Café","Guatemala",1356.6648,1356.6648,1356.6648,275,"69 kg","Arabica","Bourbon","Washed / Wet",8,7.5,7.33,8,8,8,9.33,10,10,0.1,0,0,"Green",83.67
"325","exportadora de cafe condor s.a","various","trilladora boananza","Almacafé","Colombia",1750,1750,1750,250,"70 kg","Arabica","Caturra","Washed / Wet",7.83,7.75,7.67,7.58,7.58,7.67,10,10,10,0,0,3,"Green",83.67
"326","racafe & cia s.c.a",NA,NA,"Almacafé","Colombia",1800,2000,1900,250,"70 kg","Arabica","Caturra","Washed / Wet",7.67,7.67,7.67,7.67,7.33,7.75,10,10,10,0,0,1,"Green",83.67
"327","juan luis alvarado romero","la union monte verde","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",1310.64,1310.64,1310.64,250,"69 kg","Arabica","Bourbon","Washed / Wet",7.67,7.67,7.42,7.67,8,7.75,10,10,10,0.12,1,3,"Green",83.67
"328","juan luis alvarado romero","el sacramento","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",1310.64,1310.64,1310.64,250,"69 kg","Arabica","Bourbon","Washed / Wet",7.83,7.67,7.33,7.67,7.67,7.83,10,10,10,0.11,0,2,"Green",83.67
"329","exportadora de cafe condor s.a",NA,"trilladora boananza","Almacafé","Colombia",1750,1750,1750,250,"70 kg","Arabica","Caturra","Washed / Wet",7.75,7.75,7.58,7.83,7.17,7.75,10,10,10,0.11,0,1,"Green",83.67
"330","the coffee source inc.","finca quequesquez","finca quequesquez","Specialty Coffee Association","Guatemala",1450,1450,1450,250,"1 kg","Arabica","Caturra","Natural / Dry",8.17,8.17,7.83,7.67,8.08,7.75,9.33,9.33,9.33,0.11,0,1,"Green",83.67
"331","juan luis alvarado romero","agropecuaria quiagral","beneficio ixchel","Asociacion Nacional Del Café","Guatemala",1310.64,1310.64,1310.64,250,"1 kg","Arabica","Bourbon","Washed / Wet",7.67,8.17,7.5,7.42,7.58,7.83,10,10,10,0.11,0,13,"Green",83.67
"332","juan luis ortega carballo","finca apoxtla","xicotepec de juarez","AMECAFE","Mexico",1100,1100,1100,48,"1 kg","Arabica","Typica","Washed / Wet",7.67,7.5,7.5,7.33,7.83,8.25,10,10,10,0.12,4,11,"Green",83.67
"333","ekai international company ltd.","ijen highland, east java","pt. perkebunan nusantara xii","Specialty Coffee Association of Indonesia","Indonesia",1200,1600,1400,10,"60 kg","Arabica","Typica","Washed / Wet",8.17,7.67,7.58,7.58,7.42,7.67,10,10,10,0.12,0,0,"Green",83.67
"334","juan luis alvarado romero","finca medina","beneficio 2000","Asociacion Nacional Del Café","Guatemala",1524,1524,1524,250,"69 kg","Arabica","Caturra","Washed / Wet",7.67,7.5,7.33,8,7.67,7.67,10,10,10,0.1,0,0,"Green",83.67
"335","kona pacific farmers cooperative",NA,NA,"Specialty Coffee Association","United States (Hawaii)",NA,NA,NA,3,"100 lbs","Arabica",NA,NA,7.75,8,7.92,8.08,7.75,8,9.33,9.33,9.33,0,0,0,NA,83.67
"336","ipanema coffees","fazenda capoeirnha","dry mill","Brazil Specialty Coffee Association","Brazil",890,890,890,320,"60 kg","Arabica","Bourbon","Natural / Dry",7.58,7.67,7.58,7.58,7.67,7.58,10,10,10,0.11,0,5,"Green",83.58
"337","juan luis alvarado romero","finca santa clara","beneficio exportacafe agua santa","Asociacion Nacional Del Café","Guatemala",1128.3696,1128.3696,1128.3696,275,"69 kg","Arabica","Caturra","Washed / Wet",7.75,7.75,7.5,7.83,7.58,7.58,10,10,10,0.11,0,0,"Green",83.58
"338","racafe & cia s.c.a",NA,"bachue","Almacafé","Colombia",NA,NA,NA,275,"70 kg","Arabica","Caturra","Washed / Wet",7.75,7.75,7.58,7.58,7.67,7.58,10,10,10,0.11,0,4,"Green",83.58
"339","yunnan coffee exchange","menglian mang pan professional cooperative","menglian mang pan professional cooperative","Yunnan Coffee Exchange","China",1100,1100,1100,3,"60 kg","Arabica","Catimor","Washed / Wet",7.67,7.58,7.58,7.58,7.67,7.75,10,10,10,0.1,0,4,"Green",83.58
"340","racafe & cia s.c.a",NA,NA,"Almacafé","Colombia",1600,1950,1775,275,"70 kg","Arabica","Caturra","Washed / Wet",7.67,7.75,7.58,7.67,7.75,7.58,10,10,10,0.12,0,3,"Green",83.58
"341","andreas kussmaul","exportadora café california","exportadora café california","Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.","Mexico",1200,1200,1200,275,"2 kg","Arabica","Caturra","Washed / Wet",7.75,7.75,7.58,7.58,7.5,7.67,10,10,10,0.12,1,13,"Green",83.58
"342","essencecoffee","lomi tasha","worka","Blossom Valley International","Ethiopia",1700,2000,1850,250,"60 kg","Arabica","Other","Washed / Wet",7.75,7.67,7.58,7.67,7.5,7.67,10,10,10,0,0,7,NA,83.58
"343","bulamburi coffee farmers association","bulamburi coffee farmers","bulamburi coffee farmers","Uganda Coffee Development Authority","Uganda",1800,1800,1800,100,"60 kg","Arabica","SL14","Washed / Wet",7.67,7.67,7.42,7.75,7.75,7.67,10,10,10,0.12,0,5,"Green",83.58
"344","compa<U+00F1>ia colombiana agroindustrial s.a",NA,"trilladora boananza","Almacafé","Colombia",1600,1600,1600,250,"70 kg","Arabica","Caturra","Natural / Dry",7.67,7.58,7.67,7.67,7.67,7.67,10,10,10,0,0,0,"Green",83.58
"345","compa<U+00F1>ia colombiana agroindustrial s.a",NA,"trilladora agricola","Almacafé","Colombia",1550,1550,1550,250,"70 kg","Arabica","Caturra","Washed / Wet",7.67,7.58,7.67,7.58,7.67,7.75,10,10,10,0.12,0,1,"Green",83.58
"346","compa<U+00F1>ia colombiana agroindustrial s.a",NA,"trilladora agricola","Almacafé","Colombia",1550,1550,1550,250,"70 kg","Arabica","Caturra","Washed / Wet",7.75,7.58,7.5,7.58,7.75,7.83,10,10,10,0,0,0,NA,83.58
